srno,mobmake,hubid,hubpincode,pickuppartnerid,deliverypartnerid,insuranceCompanyId,custpincodecategory,claimtype,custpincode,servicecntrid,diff1,diff2,diff3,predicted
2849456,9,3,560011,233,233,0,1,0,560050,4460,-9,0,-42,13.2787315
2932154,9,23,400001,233,233,0,1,0,380022,4398,-4,0,-55,12.08725936
2932154,9,23,400001,233,0,0,1,0,380022,4398,-4,0,-55,14.14074902
2985584,9,23,400001,201,233,0,0,0,453111,4398,-9,0,-26,11.49666825
2854160,13,21,110015,233,233,0,1,0,110084,4580,-3,-4,-72,12.58193573
2987955,15,12,302006,233,233,0,2,0,342001,4453,-4,-484,-158,14.06672849
3007421,10,23,400001,233,233,0,1,0,411038,4398,-2,0,-326,11.72435754
3053312,9,6,160059,233,233,0,3,0,143001,4437,-11,-1,-186,12.76788455
2934361,10,12,302006,233,233,1,2,0,313001,4407,-2,-61,-35,13.22838814
2979407,13,22,400104,233,233,0,2,0,361140,4581,-15,-3,-171,12.72901429
3001378,15,4,600024,233,233,1,1,0,600019,4483,-9,-15,-29,12.24849949
3025387,10,6,160059,233,233,1,3,0,141001,4437,-4,-168,-86,13.02415541
2856532,6,1,400059,233,233,0,2,0,452001,4581,-4,-3,-366,13.63179742
3030131,13,7,500004,233,233,1,1,0,500072,4403,-2,-239,-26,11.94148294
2821171,15,2,110018,233,233,1,1,0,122015,4094,-2,-61,-45,15.12633792
2849313,13,3,560011,233,233,1,1,0,560076,4467,-5,-27,-34,13.55361128
2838919,9,8,700064,201,233,0,4,0,711113,4499,-7,0,-15,16.35943519
2839783,13,21,110015,233,233,0,3,0,152123,4580,-7,-20,-166,15.21565807
2839783,13,21,110015,233,233,0,3,0,152123,4580,-7,-20,-166,15.21565807
2855601,13,17,800001,233,233,0,3,0,834001,4538,-5,-5,-126,15.58181237
2868202,13,3,560011,233,233,0,2,0,580032,4467,-5,-1,-38,14.40589583
2835214,15,12,302006,233,233,0,1,0,302013,4407,-13,-46,-190,14.44372661
2892610,15,2,110018,233,233,0,1,0,122016,4091,-3,-288,-165,14.83868418
2906296,13,4,600024,233,233,0,1,0,600096,4490,-6,-1,-301,13.09212113
2884859,13,21,110015,201,233,0,0,0,335524,4668,-16,-110,-56,13.559042
3003578,15,2,110018,308,233,1,1,0,110046,4091,-6,-341,-26,13.18390087
3036158,13,21,110015,233,233,0,1,0,201301,4580,-3,-2,-289,11.42999448
3007060,10,23,400001,233,233,0,1,0,400058,4398,-11,0,-333,12.06029047
2995265,15,3,560011,233,233,1,1,0,560004,4469,-9,0,-17,12.30388509
3048957,10,27,110034,233,233,1,1,0,201009,4388,-2,-158,-110,11.71568114
3064024,10,6,160059,233,233,0,2,0,160036,4437,-3,0,-115,11.52499898
3038673,15,1,400059,233,233,0,1,0,400710,4010,-12,-10,-135,13.67771508
3054305,13,22,400104,233,233,0,1,0,400080,4581,-5,-1,-361,10.94356852
3056252,10,27,110034,233,233,1,1,0,110029,4388,-12,-28,-343,11.40448639
2876909,15,2,110018,233,245,0,1,0,110096,4094,-4,-78,-167,14.53720654
2862113,13,26,560066,233,245,0,1,0,560040,5001,-32,-1,-596,12.8855776
2876160,15,2,110018,233,233,1,1,0,121007,4388,-5,-114,-56,13.63405959
3006324,10,6,160059,233,233,0,1,0,160071,4437,-2,0,-81,11.1386832
2835363,13,7,500004,233,233,0,1,0,500089,4403,-11,-2,-355,14.37644536
3037453,13,22,400104,233,233,0,3,0,415409,4581,-4,-2,-222,12.97934475
2987148,1,3,560011,233,245,0,1,0,560032,4400,-1,0,-164,10.73002462
2910212,13,21,110015,233,233,0,2,0,125050,4580,-5,-187,-206,13.49345636
3050106,13,22,400104,233,233,0,2,0,440008,4581,-10,-210,-287,12.71071057
2855771,15,7,500004,233,233,0,1,0,500035,4477,-13,-1,-127,14.0117986
3003544,13,21,110015,233,233,0,1,0,302020,4580,-5,-6,-160,12.52357736
2861488,2,1,400059,233,233,0,1,0,110081,4390,-22,-6,-132,11.02837907
3065821,13,21,110015,233,233,0,1,0,122001,4580,-7,-7,-208,10.6491109
2835502,13,21,110015,233,233,0,1,0,110041,4580,-5,-98,-156,13.08165996
2869153,13,22,400104,233,233,0,2,0,395017,4581,-5,-42,-312,13.89657401
2886326,10,3,560011,233,233,0,1,0,560076,4460,-2,0,-54,12.68104887
2882267,18,1,400059,233,233,0,1,0,560106,4011,-4,-223,-41,16.77509066
2883958,10,9,411016,233,233,0,1,0,411011,4021,-3,-5,-170,14.37108313
2852611,10,1,400059,233,233,0,1,0,400602,4398,-18,0,-243,14.0245497
2836058,17,1,400059,233,233,0,1,0,400710,4011,-16,-8,-147,16.29782856
2870588,12,1,400059,233,233,0,2,0,422101,4018,-10,0,-274,16.25013064
2943441,13,17,800001,233,233,0,1,0,800004,4538,-4,-2,-267,12.54175979
2949640,15,4,600024,233,233,0,2,0,636005,4492,-3,-2,-355,13.95225165
2951215,13,21,110015,233,233,1,2,0,282003,4580,-10,-43,-54,14.09012066
3004630,13,21,110015,308,233,0,1,0,110035,4580,-7,-1,-222,10.7704387
2973024,13,7,500004,233,233,0,2,0,533003,4403,-14,-3,-364,14.20472462
3011239,13,21,110015,233,233,1,1,0,122015,4580,-7,0,-267,11.27751624
3000598,13,21,110015,233,233,1,1,0,201010,4154,-4,-513,-21,14.02422459
3030507,13,17,800001,201,233,0,4,0,803215,4538,-3,-3,-319,14.64280998
3009461,10,27,110034,233,233,1,1,0,302016,4388,-9,-4,-303,13.12428656
3057192,10,27,110034,233,233,0,1,0,110092,4388,-6,-260,-86,11.27547045
3074344,10,25,560037,233,245,1,1,0,560091,4460,-5,-3,-13,10.60142328
3017312,10,6,160059,233,233,0,2,0,148001,4437,-5,-5,-367,12.23898811
2860280,10,2,110018,233,233,1,1,0,121001,4388,-7,-78,-195,13.39007978
2832836,10,4,600024,0,233,0,1,0,600116,4482,-2,0,-266,14.8091415
2887534,10,6,160059,233,233,0,2,0,160025,4437,-9,-10,-28,13.67125245
2979628,19,1,400059,233,233,0,1,0,110015,4011,-4,-100,-23,12.316664
2879480,13,3,560011,233,233,0,1,0,560029,4147,-3,-21,-455,14.65817193
2948011,10,12,302006,233,233,1,1,0,302004,4407,-11,-50,-181,12.55693523
2851199,13,3,560011,233,233,0,1,0,560037,4467,-2,0,-317,13.57749297
2985709,12,2,110018,233,233,1,2,0,209801,4092,-3,0,-275,14.72252397
2823550,13,8,700064,233,233,0,2,0,713148,4508,-4,-432,-39,15.4012637
2839869,13,7,500004,233,233,0,1,0,500056,4403,-5,-1,-325,14.03080991
2845484,13,21,110015,233,233,1,1,0,201305,4580,-1,-306,-23,13.6693687
2908320,4,2,110018,233,233,1,1,0,110007,4148,-2,-398,-206,13.27832425
2873112,21,2,110018,201,233,1,4,0,388360,4154,-4,-123,-202,20.30099162
2904883,15,2,110018,233,233,0,1,0,201304,4094,-3,-4,-147,14.83645787
2945258,10,2,110018,233,233,0,1,0,110053,4388,-7,-7,-186,12.27100373
2967014,10,2,110018,233,233,1,1,0,110009,4388,-2,-10,-24,11.68369708
2950522,13,22,400104,233,233,0,1,0,380052,4581,-2,-1,-178,11.65243268
3000380,13,21,110015,233,233,0,3,0,144411,4580,-2,-5,-306,13.26479759
2962723,10,2,110018,233,233,0,1,0,110092,4388,-12,-4,-328,12.41197134
2962723,10,2,110018,0,233,0,1,0,110092,4388,-12,-4,-328,13.8428434
2981246,13,21,110015,233,233,0,1,0,302029,4580,-9,-2,-98,12.89428204
2995195,13,26,560066,233,233,0,1,0,641025,4495,-4,-27,-664,12.86544258
2973748,15,11,641012,201,0,0,1,0,641025,4492,-9,-1,-343,15.01613884
3000612,15,3,560011,233,233,0,2,0,590011,4461,-3,-36,-24,13.23184416
2995876,13,17,800001,201,233,0,4,0,815351,4410,-16,-2,-179,16.07146602
3081263,13,22,400104,233,233,0,1,0,400607,4581,-5,275,-270,10.16890267
3072387,10,25,560037,308,233,1,1,0,560022,4460,-8,-65,-59,10.53172814
2893036,15,3,560011,233,245,1,1,0,560048,4469,-3,-3,-101,13.11236092
2889463,13,3,560011,233,233,0,1,0,560023,4467,-3,0,-149,13.07524203
2949420,10,2,110018,233,233,1,1,0,110048,4388,-7,147,-209,12.00962568
3047285,13,26,560066,233,233,0,3,0,635001,5001,-4,-8,-105,11.77526788
2851719,13,22,400104,233,233,0,2,0,395003,4581,-7,-4,-346,14.14656893
3050820,15,5,380009,233,233,0,2,0,390001,4546,-11,0,-138,12.45864816
2831087,15,1,400059,233,233,0,1,0,401101,4545,-4,0,-96,13.52313909
3025646,13,22,400104,233,233,0,1,0,421204,4581,-5,-1,-356,11.40792295
2970923,13,26,560066,201,201,0,0,0,686693,4495,-6,-365,-171,13.21678438
3011431,13,21,110015,233,233,0,2,0,132103,4580,-3,-70,-32,12.0399212
2930527,21,2,110018,233,245,0,1,0,110083,4432,-18,-5,-35,13.77315227
2973842,12,1,400059,233,245,0,1,0,380023,4018,-14,0,-109,13.81632403
2906533,13,17,800001,233,233,0,2,0,844101,4538,-2,-6,-195,14.07391715
2926719,13,21,110015,233,233,0,1,0,121004,4580,-2,-1,-317,12.00932177
2853484,33,12,302006,233,233,0,1,0,302039,4392,-5,-1,-55,15.78718195
2856207,23,4,600024,233,233,0,1,0,600007,4488,-4,-1,-265,14.64976553
2858829,13,8,700064,233,233,0,3,0,751007,4508,-4,-12,-195,15.7298832
2945850,10,2,110018,233,233,0,1,0,110058,4388,-7,0,-253,12.30577827
2969739,15,7,500004,233,233,0,1,0,500039,4477,-4,-8,-112,12.35912764
2957549,15,2,110018,233,233,1,1,0,121002,4550,-12,-168,-27,12.51016872
2995918,13,21,110015,233,233,0,2,0,221004,4580,-3,-36,-119,12.87906736
2987728,10,7,500004,233,233,1,2,0,533006,4474,-7,-137,-52,13.08069489
2993810,5,1,400059,308,233,0,1,0,400601,4015,-8,0,-225,12.43853669
3047098,15,2,110018,308,233,0,1,0,110018,4091,-2,-4,-171,12.13656529
3025845,10,23,400001,233,233,0,1,0,400604,4398,-10,0,-318,11.80237718
3027054,9,27,110034,233,233,0,2,0,342007,4388,-7,1,-174,13.86416236
3045240,10,23,400001,233,233,0,1,0,400078,4398,-5,-7,-208,11.28608342
2975768,13,21,110015,233,233,0,3,0,171001,4580,-27,-14,-186,14.78135815
3003143,13,22,400104,233,245,0,2,0,390011,4581,-3,-39,-284,12.17448049
3060784,15,2,110018,233,245,0,1,0,110059,4091,-1,0,-341,12.42218876
3019566,13,21,110015,201,201,0,0,0,173025,4441,-11,-2,-211,11.76258246
2993847,15,2,110018,233,233,1,1,0,110052,4550,-21,-54,-80,12.31057802
2885039,1,11,641012,201,201,1,0,0,682307,4498,-3,-114,-30,11.63177126
2835438,15,2,110018,233,233,0,1,0,110016,4091,-9,-25,-173,15.25788794
2907019,2,1,400059,233,233,0,2,0,140406,4390,-3,0,-176,10.86433824
2900265,15,17,800001,233,233,0,1,0,800001,4409,-5,-42,-46,13.65856648
2934819,13,22,400104,233,233,0,2,0,395009,4581,-10,-12,-158,13.24202657
2992557,13,17,800001,233,233,0,3,0,828116,4538,-2,-2,-212,13.96934349
3056446,10,27,110034,233,233,1,1,0,201310,4388,-2,-77,-211,11.59256897
3038189,10,25,560037,233,233,1,1,0,560011,4460,-13,-265,-17,11.85947613
3004678,13,21,110015,233,233,0,2,0,184101,4580,-6,-6,-197,12.66306165
2818786,10,3,560011,233,233,0,1,0,560037,4460,-2,-8,-164,13.51504763
3036064,28,24,110092,233,233,0,2,0,844101,4150,-12,-3,-411,20.90518968
3059022,13,22,400104,233,233,0,1,0,380005,4581,-9,-3,-364,10.93081379
3066039,15,2,110018,233,233,0,1,0,122001,4094,-4,-3,-709,12.97131085
2830233,13,21,110015,233,233,0,2,0,324001,4580,-4,-103,-200,15.65356006
2850432,15,9,411016,233,233,0,1,0,411028,4548,-2,-86,-193,13.40575756
2892190,15,9,411016,233,233,0,2,0,422101,4548,0,0,-330,13.86250951
2957280,10,3,560011,233,233,1,1,0,560045,4460,-7,-257,-33,12.49906627
2993689,13,7,500004,233,233,0,3,0,517502,4403,-3,0,-327,14.279296
2990094,12,2,110018,233,233,1,2,0,144001,4092,-2,-197,-18,14.24277797
2995056,10,23,400001,233,233,0,2,0,395006,4398,-7,158,-567,12.86179658
2975194,28,7,500004,233,233,0,2,0,522001,4479,-19,0,-36,15.46561101
3057908,16,3,560011,233,233,0,1,0,560093,4469,-5,-1,-83,11.60687136
2874094,13,2,110018,233,245,0,1,0,110066,4147,-5,-2,-40,13.97675585
2851137,1,2,110018,233,233,1,1,0,122002,4150,-3,-185,-20,13.22888453
2931007,13,21,110015,233,233,0,3,0,122050,4580,-7,-1,-254,14.03796847
2971306,15,2,110018,308,233,0,1,0,122002,4091,-4,-9,-707,13.56379962
3072421,13,21,110015,308,233,0,1,0,110063,4580,-2,-1,-358,9.909157336
2861501,13,22,400104,233,233,0,1,0,421201,4581,-4,-5,-132,12.9879311
2876935,15,3,560011,233,233,0,1,0,560060,4461,-3,-1,-295,13.57351085
2892111,13,4,600024,233,233,1,1,0,600045,4490,-16,-306,-56,13.96497734
2833665,10,2,110018,233,233,0,1,0,121001,4388,-4,-253,-29,13.68194262
2865675,9,8,700064,201,233,0,4,0,713217,4499,0,-3,-106,15.8406985
2880953,15,1,400059,233,233,0,2,0,422002,4545,-2,0,-320,14.15975909
3052594,13,21,110015,201,233,1,4,0,124146,4580,-4,-253,-21,13.92722265
3066119,13,22,400104,233,233,0,2,0,395007,4581,-6,-3,-320,11.73895285
2842946,13,8,700064,233,233,0,1,0,700046,4508,-3,-9,-49,13.47608849
2908231,13,22,400104,233,233,0,2,0,421305,4581,-1,-1,-327,13.43224555
3016688,13,21,110015,233,233,0,2,0,123101,4580,-3,-3,-251,11.98483341
2830355,10,6,160059,233,233,1,2,0,134107,4437,-5,-333,-30,14.40732287
2848358,12,6,160059,233,233,0,3,0,143001,4435,-6,-1,-118,15.0710098
2818824,13,21,110015,201,233,0,4,0,173213,4673,-10,-10,-39,16.41331814
2842438,15,2,110018,233,233,1,1,0,122001,4091,-7,-575,-176,16.00371036
2859630,13,22,400104,233,233,0,2,0,360005,4581,-5,-1,-195,13.59133994
2946038,15,7,500004,233,233,1,1,0,500072,4477,-8,-473,-28,13.42918285
2979500,13,21,110015,233,233,0,1,0,110095,4580,-3,-311,-196,11.76972748
2848271,13,3,560011,233,233,0,1,0,560001,4467,-2,-2,-298,13.59753471
2843549,15,8,700064,233,233,0,1,0,700157,4500,-3,-193,-37,13.99164856
2862613,15,1,400059,233,233,0,1,0,400081,4545,-8,0,-243,13.46590255
2880618,15,1,400059,233,233,0,1,0,421302,4545,-3,-1,-160,13.13651338
2902421,13,21,110015,233,233,0,2,0,303108,4580,-5,-2,-323,14.70046967
2866791,13,8,700064,201,233,0,4,0,733202,4508,-7,-13,-151,16.75692763
2897488,12,8,700064,233,233,0,2,0,781022,4502,-4,-87,-37,14.48441292
2959935,13,21,110015,233,233,0,2,0,324007,4580,-5,-1,-469,14.33735107
2947560,15,6,160059,233,233,0,2,0,134109,4549,-4,-51,-216,12.94452095
2987209,10,8,700064,233,233,0,1,0,700084,4499,-2,-2,-288,11.72724097
3009301,10,23,400001,308,233,0,1,0,400607,4398,-14,0,-363,11.7382015
2979823,10,25,560037,233,233,1,1,0,600029,4460,-24,-199,-261,13.37806934
3067125,13,21,110015,308,233,0,1,0,110025,4580,-8,-1,-269,10.16956882
3032262,15,3,560011,233,245,0,1,0,560045,4461,-3,-97,-434,12.02303473
2931222,9,23,400001,233,233,0,2,0,440032,4398,-4,-1,-137,13.54848009
2868023,13,21,110015,233,233,1,2,0,322001,4580,-2,-424,-61,15.50732414
2906957,15,3,560011,233,233,0,2,0,570002,4461,-8,-1,-252,14.45698447
2967296,13,3,560011,233,233,0,1,0,560095,4467,-3,-6,-631,12.60692735
3014033,13,22,400104,233,245,0,2,0,395007,4581,-3,-5,-321,12.06986835
3016573,10,23,400001,233,245,1,2,0,395007,4398,-2,-11,-27,12.1289796
2937458,10,12,302006,308,233,1,2,0,313001,4407,-6,-373,-23,13.37375555
2926936,15,2,110018,233,233,1,2,0,121102,4550,-6,-74,-129,13.45635197
2847547,13,22,400104,233,245,0,1,0,380005,4581,-4,-114,-22,12.81024522
2923129,13,3,560011,233,233,0,1,0,560016,4467,-4,-40,-328,12.95100751
2941797,10,2,110018,201,233,1,0,0,193123,4388,-3,-339,-50,12.38038436
3036981,13,21,110015,233,233,0,1,0,122001,4580,-6,-2,-360,11.02852106
2825024,13,21,110015,233,233,0,1,0,110009,4580,-6,-1,-557,13.40501901
2862465,15,2,110018,233,233,1,1,0,121006,4550,-5,-95,-29,13.12356895
2879407,13,22,400104,233,233,0,1,0,380007,4581,-2,-3,-210,12.45623018
2840356,13,22,400104,233,233,0,1,0,382340,4581,-15,-123,-196,13.65728717
2872341,10,2,110018,233,233,0,1,0,110019,4388,-4,0,-372,13.06411863
2901319,13,21,110015,201,233,0,0,0,250501,4580,-3,-3,-147,12.40730053
2953078,10,2,110018,233,233,1,1,0,201306,4388,-1,-143,-55,12.68526636
2946604,13,7,500004,233,233,0,3,0,502296,4403,-4,-37,-63,14.57860908
2939519,10,2,110018,233,233,1,1,0,110009,4550,-3,32,-23,11.35470409
2939674,15,1,400059,233,233,0,1,0,400604,4010,-5,0,-244,14.51011602
2934432,13,21,110015,233,233,0,1,0,121002,4580,-13,-2,-630,12.66596029
2890006,5,1,400059,233,233,0,1,0,400612,4015,-25,0,-338,14.88911247
2988777,13,7,500004,233,233,0,2,0,520011,4403,-4,-3,-153,13.32181282
3027182,4,2,110018,233,233,1,1,0,122015,4148,-4,-278,-317,12.06504714
3006385,21,2,110018,233,233,1,1,0,401303,5138,-8,-26,-24,12.09832953
3049927,9,27,110034,233,233,0,1,0,302012,4388,-4,-2,-168,12.23942098
3061337,15,8,700064,233,233,1,1,0,700141,4511,-4,0,-54,11.33847914
3074283,12,2,110018,233,233,0,1,0,226003,4092,-7,0,-37,12.9295758
2838925,10,6,160059,233,233,1,2,0,147001,4437,-4,-165,-89,14.15683292
2851282,15,8,700064,233,233,0,1,0,700034,4500,-9,0,-52,13.89994232
2961151,9,10,226010,233,233,0,1,0,226018,4444,-7,0,-112,11.79390279
3049238,13,26,560066,233,233,0,1,0,600119,5001,-3,-182,-256,9.93963606
3040835,10,25,560037,233,233,1,2,0,570011,4460,-12,-242,-54,12.79795483
2979830,13,7,500004,233,233,0,1,0,500081,4403,-5,-5,-7,12.26350882
3052750,13,8,700064,233,233,0,3,0,751030,4508,-5,-1,-362,13.77044272
2827540,10,2,110018,233,233,1,1,0,110008,4388,-2,-10,-213,13.35231365
2852841,21,2,110018,233,233,0,1,0,700003,4017,-8,-10,-38,20.18605464
2985777,1,24,110092,233,233,0,2,0,412207,4150,-7,-5,-236,14.89052834
2919197,4,1,400059,233,233,0,2,0,410206,4011,-22,-7,-549,15.52639918
3048854,15,2,110018,233,233,0,3,0,122504,4550,-5,-177,-67,13.14465498
2863147,10,1,400059,201,233,1,0,0,458226,4388,-1,-172,-79,12.98176389
2991575,21,2,110018,233,245,1,1,0,560029,5138,-4,-91,-194,13.36893915
